book_id,book_url,title,author,language,subjects,bookshelves
21339,https://www.gutenberg.org/ebooks/21339,"The Works of Aphra Behn, Volume I","['Behn, Aphra, 1640-1689']",English,['English drama -- 17th century'],[]
1260,https://www.gutenberg.org/ebooks/1260,Jane Eyre: An Autobiography,"['Brontë, Charlotte, 1816-1855']",English,"['Orphans -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Governesses -- Fiction', 'Fathers and daughters -- Fiction', 'Mentally ill women -- Fiction', 'Charity-schools -- Fiction', 'Married people -- Fiction', 'Country homes -- Fiction', 'Bildungsromans']",[]
64317,https://www.gutenberg.org/ebooks/64317,The Great Gatsby,"['Fitzgerald, F. Scott (Francis Scott), 1896-1940']",English,"['Psychological fiction', 'First loves -- Fiction', 'Married women -- Fiction', 'Rich people -- Fiction', 'Long Island (N.Y.) -- Fiction']",[]
27842,https://www.gutenberg.org/ebooks/27842,The Economic Aspect of Geology,"['Leith, C. K. (Charles Kenneth), 1875-1956']",English,"['Geology, Economic']",[]
27430,https://www.gutenberg.org/ebooks/27430,The Critical Period of American History,"['Fiske, John, 1842-1901']",English,"['United States -- History -- Confederation, 1783-1789']",[]
18592,https://www.gutenberg.org/ebooks/18592,"The Life of George Washington, Vol. 2Commander in Chief of the American Forces During the Warwhich Established the Independence of his Country and FirstPresident of the United States","['Marshall, John, 1755-1835']",English,"['Generals -- United States -- Biography', 'Presidents -- United States -- Biography', 'Washington, George, 1732-1799']",[]
28068,https://www.gutenberg.org/ebooks/28068,Het ivoren aapje: Een roman van Brusselsch leven,"['Teirlinck, Herman, 1879-1967']",Dutch,['Brussels (Belgium) -- Fiction'],[]
174,https://www.gutenberg.org/ebooks/174,The Picture of Dorian Gray,"['Wilde, Oscar, 1854-1900']",English,"['Didactic fiction', 'Supernatural -- Fiction', 'Conduct of life -- Fiction', 'Portraits -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Appearance (Philosophy) -- Fiction', 'Paranormal fiction']",[]
76662,https://www.gutenberg.org/ebooks/76662,Sämtliche Werke 20 :  Aus dem Dunkel der Großstadt : Acht Novellen,"['Dostoyevsky, Fyodor, 1821-1881']",German,"['Russian fiction -- Translations into German', 'Short stories, Russian -- Translations into German']",[]
38126,https://www.gutenberg.org/ebooks/38126,Der Untertan,"['Mann, Heinrich, 1871-1950']",German,"['German fiction -- 20th century', 'Satire, German', 'Germany -- Politics and government -- Fiction']",[]
55487,https://www.gutenberg.org/ebooks/55487,Sämmtliche Werke 5: Dramatische Werke,"['Gogol, Nikolai Vasilevich, 1809-1852']",German,['Russian drama -- Translations into German'],[]
8492,https://www.gutenberg.org/ebooks/8492,The King in Yellow,"['Chambers, Robert W. (Robert William), 1865-1933']",English,"['Short stories, American', 'Horror tales, American', 'United States -- Social life and customs -- 19th century -- Fiction']",[]
24917,https://www.gutenberg.org/ebooks/24917,Mariucha,"['Pérez Galdós, Benito, 1843-1920']",Spanish,"['Comedy plays', 'Spanish language -- Readers', 'Spanish drama -- 20th century']",[]
22240,https://www.gutenberg.org/ebooks/22240,Masterpieces of Negro EloquenceThe Best Speeches Delivered by the Negro from the days ofSlavery to the Present Time,[],English,"['Speeches, addresses, etc., American -- African American authors', 'African Americans -- History -- Sources', 'African American orators']",[]
7142,https://www.gutenberg.org/ebooks/7142,The History of the Peloponnesian War,"['Thucydides, 456? BCE-396 BCE']",English,"['Greece -- History -- Peloponnesian War, 431-404 B.C.']",[]
22010,https://www.gutenberg.org/ebooks/22010,"The Tribes and Castes of the Central Provinces of India, Volume 2","['Russell, R. V. (Robert Vane), 1873-1915']",English,"['Ethnology -- India -- Madhya Pradesh', 'Caste -- India -- Madhya Pradesh', 'Madhya Pradesh (India) -- Religion', 'Madhya Pradesh (India) -- Scheduled tribes']",[]
28106,https://www.gutenberg.org/ebooks/28106,Tres Comedias :  Sin querer; De pequenas causas...; Los intereses creados,"['Benavente, Jacinto, 1866-1954']",Spanish,"['Comedy plays', 'Spanish language -- Readers', 'Spanish drama']",[]
21353,https://www.gutenberg.org/ebooks/21353,Civics and Health,"['Allen, William H. (WIlliam Harvey), 1874-1963']",English,"['Hygiene', 'Public health']",[]
27669,https://www.gutenberg.org/ebooks/27669,"The Johnstown Horror!!!or, Valley of Death, being A Complete and Thrilling Accountof the Awful Floods and Their Appalling Ruin","['Walker, James Herbert']",English,['Floods -- Pennsylvania -- Johnstown (Cambria County)'],[]
28942,https://www.gutenberg.org/ebooks/28942,"The Junior Classics, Volume 1: Fairy and wonder tales","['Neilson, William Allan, 1869-1946']",English,"[""Children's literature""]",[]
768,https://www.gutenberg.org/ebooks/768,Wuthering Heights,"['Brontë, Emily, 1818-1848']",English,"['Revenge -- Fiction', 'Psychological fiction', 'Rejection (Psychology) -- Fiction', 'Love stories', 'Domestic fiction', 'Yorkshire (England) -- Fiction', 'Foundlings -- Fiction', 'Rural families -- Fiction', 'Heathcliff (Fictitious character : Brontë) -- Fiction', 'Triangles (Interpersonal relations) -- Fiction']",[]
