book_id,title,downloads
45304,"The City of God, Volume I",19950.0
84,"Frankenstein; or, the modern prometheus",169860.0
2701,"Moby Dick; Or, The Whale",117105.0
1342,Pride and Prejudice,92780.0
768,Wuthering Heights,117925.0
1513,Romeo and Juliet,77389.0
11,Alice's Adventures in Wonderland,59506.0
100,The Complete Works of William Shakespeare,60711.0
2641,A Room with a View,59767.0
145,Middlemarch,55621.0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",52745.0
67979,The Blue Castle: a novel,49911.0
5197,My Life — Volume 1,41829.0
16389,The Enchanted April,43016.0
6593,"History of Tom Jones, a Foundling",40054.0
2160,The Expedition of Humphry Clinker,41480.0
6761,The Adventures of Ferdinand Count Fathom — Complete,41089.0
394,Cranford,41622.0
1259,Twenty years after,41864.0
4085,The Adventures of Roderick Random,40065.0
64317,The Great Gatsby,51487.0
174,The Picture of Dorian Gray,42401.0
2554,Crime and Punishment,48742.0
43,The strange case of Dr. Jekyll and Mr. Hyde,55704.0
1260,Jane Eyre: An Autobiography,51271.0
1661,The Adventures of Sherlock Holmes,34511.0
19550,Natural History of the Mammalia of India and Ceylon,2129.0
135,Les Misérables,14951.0
1232,The Prince,29502.0
30781,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 1 - (A),991.0
28054,The Brothers Karamazov,31896.0
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,38395.0
345,Dracula,38632.0
1184,The Count of Monte Cristo,34479.0
24141,警世通言,4089.0
2542,A Doll's House : a play,39479.0
98,A Tale of Two Cities,36769.0
8492,The King in Yellow,36647.0
36034,"White nights, and other stories",0.0
57724,"A Cyclopaedia of Canadian Biography: Being Chiefly Men of the TimeA Collection of Persons Distinguished in Professional and Political Life, Leaders in the Commerce and Industry of Canada, and Successful Pioneers",0.0
78127,The golden journey of Mr. Paradyne,0.0
1023,Bleak House,0.0
26471,Spoon River Anthology,7588.0
76,Adventures of Huckleberry Finn,0.0
4300,Ulysses,25539.0
1400,Great Expectations,27961.0
1998,Thus Spake Zarathustra: A Book for All and None,0.0
78126,The weird of the wanderer :  Being the papyrus records of some incidents in one of the previous lives of  Mr. Nicholas Crabbe,0.0
5200,Metamorphosis,27403.0
8800,The divine comedy,19397.0
1080,"A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",39853.0
45368,The Outline of History: Being a Plain History of Life and Mankind,0.0
2600,War and Peace,24884.0
1399,Anna Karenina,17780.0
3296,The Confessions of St. Augustine,0.0
3207,Leviathan,28845.0
16328,Beowulf: An Anglo-Saxon Epic Poem,0.0
2591,Grimms' Fairy Tales,26676.0
1952,The Yellow Wallpaper,0.0
33283,Calculus Made EasyBeing a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus,13367.0
2680,Meditations,20958.0
78131,"Peter Pan :  or, The boy who would not grow up",0.0
20228,Noli Me Tangere,0.0
26184,Simple Sabotage Field Manual,0.0
45,Anne of Green Gables,24614.0
25344,The Scarlet Letter,26418.0
15707,"Zoonomia; Or, the Laws of Organic Life, Vol. I",0.0
74,"The Adventures of Tom Sawyer, Complete",0.0
26225,Fifteen Thousand Useful Phrases,4809.0
205,"Walden, and On The Duty Of Civil Disobedience",25825.0
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,21370.0
1497,The Republic,20096.0
27673,Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes,0.0
20968,"Three Hundred Tang Poems, Volume 1",3859.0
29951,"The Mayflower, January, 1905",0.0
72679,"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art",19723.0
600,Notes from the Underground,12543.0
20417,"The Outline of Science, Vol. 1 (of 4)A Plain Story Simply Told",2142.0
120,Treasure Island,0.0
20738,Diccionario Ingles-Español-TagalogCon partes de la oracion y pronunciacion figurada,2732.0
10,The King James Version of the Bible,14069.0
78124,"1066 and all that :  A memorable history of England, comprising all the parts you can remember, including 103 good things, 5 bad kings and 2 genuine dates",0.0
829,Gulliver's Travels into Several Remote Nations of the World,0.0
30254,The Romance of Lust: A classic Victorian erotic novel,15385.0
15272,"Spenser's The Faerie Queene, Book I",0.0
26296,"Les mille et une nuits, tome premier",0.0
244,A Study in Scarlet,0.0
5740,Tractatus Logico-Philosophicus,0.0
28942,"The Junior Classics, Volume 1: Fairy and wonder tales",4358.0
55,The Wonderful Wizard of Oz,0.0
60086,"The Boy Travellers in The Russian EmpireAdventures of Two Youths in a Journey in European and Asiatic Russia, with Accounts of a Tour across Siberia, Voyages on the Amoor, Volga, and Other Rivers, a Visit to Central Asia, Travels among the Exiles, and a Historical Sketch of the Empire from Its Foundation to the Present Time",0.0
3206,Moby Multiple Language Lists of Common Words,0.0
408,The Souls of Black Folk,24912.0
22788,The Federalist Papers,0.0
7370,Second Treatise of Government,0.0
78013,"Arrian on coursing :  the Cynegeticus of the younger Xenophon, translated from the Greek, with classical and practical annotations, and a brief sketch of the life and writings of the author. To which is added an appendix, containing some account of the Canes Venatici of classical antiquity",0.0
16,Peter Pan :  [Peter and Wendy],15160.0
24746,Reise in die Aequinoctial-Gegenden des neuen Continents. Band 2.,0.0
4363,Beyond Good and Evil,19846.0
1322,Leaves of Grass,0.0
