book_id,title,downloads
2701,"Moby Dick; Or, The Whale",0
1342,Pride and Prejudice,0
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,0
2641,A Room with a View,0
2554,Crime and Punishment,0
65238,The Secret of Chimneys,0
3268,The Mysteries of Udolpho,0
1513,Romeo and Juliet,0
2465,Carmen,0
2868,The Green Mummy,0
1661,The Adventures of Sherlock Holmes,0
67979,The Blue Castle: a novel,0
1260,Jane Eyre: An Autobiography,0
34413,The Love Letters of Mary Wollstonecraft to Gilbert Imlay,0
59828,"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.",0
62215,Le Fantôme de l'Opéra,0
1695,The Man Who Was Thursday: A Nightmare,0
345,Dracula,0
11,Alice's Adventures in Wonderland,0
5197,My Life — Volume 1,0
21839,Sense and Sensibility,0
601,The Monk: A Romance,0
43,The strange case of Dr. Jekyll and Mr. Hyde,0
6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",0
831,Four Arthurian Romances,0
42,The strange case of Dr. Jekyll and Mr. Hyde,0
2680,Meditations,0
3011,The Lady of the Lake,0
468,Manon Lescaut,0
51252,The Book of the Thousand Nights and a Night — Volume 01 (of 10),0
76639,"Eloisa :  or, A series of original letters",0
564,The Mystery of Edwin Drood,0
47530,"Oliver Twist, Vol. 2 (of 3)",0
72,"Thuvia, maid of Mars",0
22541,The Misplaced Battleship,0
75201,A farewell to arms,0
45839,Dracula,0
3296,The Confessions of St. Augustine,0
7326,The Yeoman Adventurer,0
42671,Pride and Prejudice,0
145,Middlemarch,0
19476,A Honeymoon in Space,0
71046,"Modern English biography, volume 2 (of 4), I-Q",0
24739,"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude",0
8492,The King in Yellow,0
100,The Complete Works of William Shakespeare,0
393,The Blue Lagoon: A Romance,0
589,Catriona,0
31100,The Complete Project Gutenberg Works of Jane AustenA Linked Index of all PG Editions of Jane Austen,0
36462,King Arthur and the Knights of the Round Table,0
244,A Study in Scarlet,0
53874,Under the Red Dragon: A Novel,0
103,Around the World in Eighty Days,0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",0
70854,The Countess of Pembroke's Arcadia,0
1184,The Count of Monte Cristo,0
40284,The Sex Life of the Gods,0
24793,Blow The Man Down: A Romance Of The Coast,0
2852,The Hound of the Baskervilles,0
18143,Roméo et JulietteTragédie,0
1259,Twenty years after,0
1212,Love and Freindship [sic],0
1608,Camille (La Dame aux Camilias),0
245,Life on the Mississippi,0
2148,The Works of Edgar Allan Poe — Volume 2,0
1523,As You Like It,0
76178,I am a woman,0
204,The innocence of Father Brown,0
161,Sense and Sensibility,0
2002,Sonnets from the Portuguese,0
2147,The Works of Edgar Allan Poe — Volume 1,0
223,The wisdom of Father Brown,0
209,The Turn of the Screw,0
224,A pair of blue eyes,0
108,The Return of Sherlock Holmes,0
27827,"The Kama Sutra of VatsyayanaTranslated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",0
834,The Memoirs of Sherlock Holmes,0
2825,Undine,0
48296,Linnet: A Romance,0
23,"Narrative of the Life of Frederick Douglass, an American Slave",0
4499,Complete Short Works of George Meredith,0
2620,The Home Book of Verse — Volume 2,0
31472,Cynthia's Chauffeur,0
3922,The Red Lily — Complete,0
1063,The Cask of Amontillado,0
69087,The murder of Roger Ackroyd,0
55179,One of the Six Hundred: A Novel,0
863,The Mysterious Affair at Styles,0
61851,El crimen y el castigo,0
175,The Phantom of the Opera,0
68283,The call of Cthulhu,0
38311,What Will People Say? A Novel,0
38177,The Passionate Elopement,0
2097,The Sign of the Four,0
921,De Profundis,0
76668,Trial by water,0
20203,Autobiography of Benjamin Franklin,0
221,The Return of Sherlock Holmes,0
51428,That Which Hath Wings: A Novel of the Day,0
7889,Erotica Romana,0
