book_id,title,downloads
45304,"The City of God, Volume I",146974.0
2701,"Moby Dick; Or, The Whale",112302.0
84,"Frankenstein; or, the modern prometheus",178271.0
1342,Pride and Prejudice,107502.0
1513,Romeo and Juliet,70272.0
8492,The King in Yellow,55910.0
100,The Complete Works of William Shakespeare,60527.0
2554,Crime and Punishment,49665.0
2641,A Room with a View,57366.0
11,Alice's Adventures in Wonderland,65243.0
145,Middlemarch,53885.0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",49414.0
6761,The Adventures of Ferdinand Count Fathom — Complete,38235.0
67979,The Blue Castle: a novel,47023.0
16389,The Enchanted April,40805.0
43,The strange case of Dr. Jekyll and Mr. Hyde,56894.0
1259,Twenty years after,40022.0
394,Cranford,38083.0
2160,The Expedition of Humphry Clinker,37810.0
5197,My Life — Volume 1,42691.0
6593,"History of Tom Jones, a Foundling",37687.0
4085,The Adventures of Roderick Random,36803.0
26471,Spoon River Anthology,30062.0
1184,The Count of Monte Cristo,44760.0
1260,Jane Eyre: An Autobiography,57602.0
174,The Picture of Dorian Gray,52794.0
768,Wuthering Heights,72775.0
64317,The Great Gatsby,57325.0
26296,"Les mille et une nuits, tome premier",0.0
345,Dracula,42360.0
1661,The Adventures of Sherlock Holmes,0.0
28054,The Brothers Karamazov,0.0
1080,"A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",0.0
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,51790.0
2542,A Doll's House : a play,0.0
98,A Tale of Two Cities,38103.0
1998,Thus Spake Zarathustra: A Book for All and None,0.0
36034,"White nights, and other stories",23874.0
1232,The Prince,29532.0
76,Adventures of Huckleberry Finn,38960.0
8800,The divine comedy,0.0
28942,"The Junior Classics, Volume 1: Fairy and wonder tales",0.0
205,"Walden, and On The Duty Of Civil Disobedience",0.0
2600,War and Peace,0.0
5200,Metamorphosis,28364.0
26225,Fifteen Thousand Useful Phrases,21496.0
4363,Beyond Good and Evil,20616.0
2591,Grimms' Fairy Tales,0.0
24141,警世通言,30430.0
1400,Great Expectations,0.0
3296,The Confessions of St. Augustine,0.0
2680,Meditations,28425.0
4300,Ulysses,0.0
3207,Leviathan,0.0
5740,Tractatus Logico-Philosophicus,10029.0
45,Anne of Green Gables,26339.0
74,"The Adventures of Tom Sawyer, Complete",25830.0
72679,"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art",20464.0
20968,"Three Hundred Tang Poems, Volume 1",0.0
16328,Beowulf: An Anglo-Saxon Epic Poem,0.0
1952,The Yellow Wallpaper,28479.0
120,Treasure Island,24601.0
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,0.0
1322,Leaves of Grass,13334.0
22788,The Federalist Papers,20967.0
78541,The three wise men,0.0
78544,Charles Chapin's story :  Written in Sing Sing Prison,0.0
39647,The Spanish American Reader,0.0
22789,On the Duties of the Clergy,18332.0
65661,Der Zauberberg. Erster Band,14021.0
135,Les Misérables,18171.0
78543,"The tribes and castes of the North-Western Provinces and Oudh, Volume 2 (of 4)",0.0
30254,The Romance of Lust: A classic Victorian erotic novel,16790.0
27827,"The Kama Sutra of VatsyayanaTranslated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",13597.0
34901,On Liberty,0.0
78545,More than skin deep,0.0
1399,Anna Karenina,0.0
20000,Twenty Thousand Leagues Under the Sea,0.0
1497,The Republic,0.0
7370,Second Treatise of Government,20172.0
829,Gulliver's Travels into Several Remote Nations of the World,25457.0
3206,Moby Multiple Language Lists of Common Words,0.0
1023,Bleak House,0.0
408,The Souls of Black Folk,21414.0
23520,Mon oncle et mon curé; Le voeu de Nadia,3861.0
33283,Calculus Made EasyBeing a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus,0.0
10,The King James Version of the Bible,0.0
2000,Don Quijote,0.0
16,Peter Pan :  [Peter and Wendy],0.0
21181,Villette,9887.0
26275,Homer's OdysseyA Commentary,1221.0
78542,Precious bane,0.0
60230,"The Natural History of Pliny, Volume 2 (of 6)",0.0
22,Roget's Thesaurus,8127.0
27673,Oedipus King of ThebesTranslated into English Rhyming Verse with Explanatory Notes,0.0
76182,Memories (volume 1 of 2),1958.0
55,The Wonderful Wizard of Oz,0.0
219,Heart of Darkness,19150.0
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,15993.0
2848,Antiquities of the Jews,0.0
