book_id,title,downloads
2701,"Moby Dick; Or, The Whale",114793.0
84,"Frankenstein; Or, The Modern Prometheus",135937.0
52190,"Ecce HomoComplete Works, Volume Seventeen",5970.0
768,Wuthering Heights,42797.0
1513,Romeo and Juliet,69731.0
1342,Pride and Prejudice,82842.0
100,The Complete Works of William Shakespeare,56824.0
145,Middlemarch,54079.0
2641,A Room with a View,55377.0
11,Alice's Adventures in Wonderland,52940.0
26184,Simple Sabotage Field Manual,21806.0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",49985.0
67979,The Blue Castle: a novel,44925.0
16389,The Enchanted April,43585.0
52205,肉蒲團,1900.0
25130,夜雨秋燈錄,2005.0
2160,The Expedition of Humphry Clinker,40492.0
2554,Crime and Punishment,50199.0
6761,The Adventures of Ferdinand Count Fathom — Complete,40734.0
1259,Twenty years after,39980.0
43,The Strange Case of Dr. Jekyll and Mr. Hyde,53674.0
394,Cranford,40494.0
4085,The Adventures of Roderick Random,39271.0
5197,My Life — Volume 1,40235.0
6593,"History of Tom Jones, a Foundling",39204.0
1260,Jane Eyre: An Autobiography,45255.0
19315,The Poems of Giacomo Leopardi,6376.0
98,A Tale of Two Cities,31646.0
20321,"A Brief Account of the Destruction of the IndiesOr, a faithful NARRATIVE OF THE Horrid and Unexampled Massacres, Butcheries, and all manner of Cruelties, that Hell and Malice could invent, committed by the Popish Spanish Party on the inhabitants of West-India, TOGETHER With the Devastations of several Kingdoms in America by Fire and Sword, for the space of Forty and Two Years, from the time of its first Discovery by them.",1465.0
4367,"Personal Memoirs of U. S. Grant, Complete",6394.0
174,The Picture of Dorian Gray,35817.0
28054,The Brothers Karamazov,32090.0
64317,The Great Gatsby,0.0
16328,Beowulf: An Anglo-Saxon Epic Poem,44066.0
8492,The King in Yellow,38701.0
7290,"韓詩外傳, Complete",0.0
1232,The Prince,24801.0
25346,南腔北調集,0.0
27399,麟兒報,0.0
1184,The Count of Monte Cristo,36464.0
1661,The Adventures of Sherlock Holmes,28773.0
73887,Modern ships of war,2373.0
3206,Moby Multiple Language Lists of Common Words,0.0
205,"Walden, and On The Duty Of Civil Disobedience",0.0
76,Adventures of Huckleberry Finn,0.0
27459,耳食錄,0.0
345,Dracula,0.0
1998,Thus Spake Zarathustra: A Book for All and None,0.0
24154,癡人說夢記,1919.0
1080,"A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",0.0
2591,Grimms' Fairy Tales,0.0
4300,Ulysses,0.0
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,0.0
36034,"White nights, and other stories",26663.0
2600,War and Peace,23619.0
5740,Tractatus Logico-Philosophicus,0.0
20228,Noli Me Tangere,0.0
6271,"Embers, Complete",0.0
72679,"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains two hundred diagrams and seals for invocation and convocation of spirits, necromancy, witchcraft and black art",0.0
2542,A Doll's House : a play,30565.0
1952,The Yellow Wallpaper,24101.0
1400,Great Expectations,0.0
25344,The Scarlet Letter,25914.0
45,Anne of Green Gables,21710.0
3207,Leviathan,24927.0
3296,The Confessions of St. Augustine,0.0
74,"The Adventures of Tom Sawyer, Complete",0.0
39647,Heath's Modern Language Series: The Spanish American Reader,0.0
13240,A Short Biographical Dictionary of English Literature,0.0
77883,"Is sex necessary? :  Or, why you feel the way you do",0.0
16119,"Doctrina ChristianaThe first book printed in the Philippines, Manila, 1593.",0.0
8800,The divine comedy,18358.0
2680,Meditations,0.0
5200,Metamorphosis,22516.0
77870,Talkies,0.0
1719,The Ballad of the White Horse,0.0
26970,彭公案,5351.0
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,20234.0
1399,Anna Karenina,0.0
120,Treasure Island,21555.0
1497,The Republic,0.0
51912,"The Boss, and How He Came to Rule New York",0.0
4363,Beyond Good and Evil,0.0
26921,引鳳蕭,0.0
408,The Souls of Black Folk,16988.0
47629,"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere)",0.0
77881,"Old Mexico and her lost provinces :  A journey in Mexico, southern California, and Arizona by way of Cuba",0.0
55,The Wonderful Wizard of Oz,0.0
77880,The Druid Path,0.0
30254,The Romance of Lust: A classic Victorian erotic novel,0.0
2000,Don Quijote,0.0
45033,"The Sea: Its Stirring Story of Adventure, Peril, & Heroism. Volume 4",0.0
26,Paradise Lost,14857.0
7370,Second Treatise of Government,0.0
62383,"A Biblia Sagrada, Contendo o Velho e o Novo Testamento",0.0
244,A Study in Scarlet,0.0
2650,Du côté de chez Swann,0.0
1023,Bleak House,0.0
34901,On Liberty,0.0
161,Sense and Sensibility,15762.0
