book_id,title,downloads
2701,"Moby Dick; Or, The Whale",0
1342,Pride and Prejudice,0
1513,Romeo and Juliet,0
11,Alice's Adventures in Wonderland,0
100,The Complete Works of William Shakespeare,0
2641,A Room with a View,0
145,Middlemarch,0
1661,The Adventures of Sherlock Holmes,0
67979,The Blue Castle: a novel,0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",0
84,"Frankenstein; or, the modern prometheus",0
45304,"The City of God, Volume I",0
28054,The Brothers Karamazov,0
26296,"Les mille et une nuits, tome premier",0
2554,Crime and Punishment,0
21053,An anthology of German literature,0
16389,The Enchanted April,0
25851,"The Life of Charles Dickens, Vol. I-III, Complete",0
21190,"Expositions of Holy ScriptureSecond Corinthians, Galatians, and Philippians ChaptersI to End. Colossians, Thessalonians, and First Timothy.",0
5197,My Life — Volume 1,0
6761,The Adventures of Ferdinand Count Fathom — Complete,0
6593,"History of Tom Jones, a Foundling",0
394,Cranford,0
2160,The Expedition of Humphry Clinker,0
1259,Twenty years after,0
4085,The Adventures of Roderick Random,0
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,0
1184,The Count of Monte Cristo,0
26849,The Works of Mr. George Gillespie (Vol. 1 of 2),0
28329,The Land of Thor,0
20004,"Tancred; Or, The New Crusade",0
345,Dracula,0
22358,Erik Dorn,0
22049,"A Literary History of the English People, from the Origins to the Renaissance",0
2680,Meditations,0
76662,Sämtliche Werke 20 :  Aus dem Dunkel der Großstadt : Acht Novellen,0
98,A Tale of Two Cities,0
27739,Poetical Works of Matthew Arnold,0
79071,Samphire,0
74,"The Adventures of Tom Sawyer, Complete",0
40739,Die Traumdeutung,0
21953,"Aurelian; or, Rome in the Third Century",0
1260,Jane Eyre: An Autobiography,0
27400,The Martian: A Novel,0
26752,The Way To Geometry,0
22372,A Labrador DoctorThe Autobiography of Wilfred Thomason Grenfell,0
60353,Millionen; Der Tod des Iwan Lande: Zwei Novellen,0
27587,A Victor of Salamis,0
25853,"The Letters of Charles Dickens. Vol. 2, 1857-1870",0
4300,Ulysses,0
22686,Een strijd om de schatten van Alva: of De watergeuzen in 1572,0
27451,"Robert Burns. Vol. 2, Les Oeuvres",0
26225,Fifteen Thousand Useful Phrases,0
22210,"In the forbidden land :  an account of a journey into Tibet, capture by the Tibetan lamas and soldiers, imprisonment, torture and ultimate release",0
26938,"Esoteric Christianity, or The Lesser Mysteries",0
22903,The Expedition to Borneo of H.M.S. DidoFor the Suppression of Piracy,0
26659,"The Will to Believe, and Other Essays in Popular Philosophy",0
28074,The Buccaneer: A Tale,0
174,The Picture of Dorian Gray,0
20981,Tristram of Blent: An Episode in the Story of an Ancient House,0
23784,The History of Sir Richard Calmady: A Romance,0
22121,Olive: A Novel,0
2600,War and Peace,0
23409,"Acadiaor, A Month with the Blue Noses",0
20968,"Three Hundred Tang Poems, Volume 1",0
8492,The King in Yellow,0
5200,Metamorphosis,0
1232,The Prince,0
76045,J'accuse...!,0
28794,"Moby Dick; Or, The Whale",0
42486,"The Two Magics: The Turn of the Screw, Covering End",0
25545,Children's LiteratureA Textbook of Sources for Teachers and Teacher-Training Classes,0
22129,"""Wee Tim'rous Beasties"": Studies of Animal life and Character",0
120,Treasure Island,0
27384,The regent's daughter,0
22276,Despair's Last Journey,0
25359,"Boys and Girls Bookshelf; a Practical Plan of Character Building, Volume I (of 17)Fun and Thought for Little Folk",0
43,The strange case of Dr. Jekyll and Mr. Hyde,0
22962,Mansfield Park,0
20890,Bussy D'Ambois and The Revenge of Bussy D'Ambois,0
34811,Buddenbrooks: Verfall einer Familie,0
26492,"Studies of American Fungi. Mushrooms, Edible, Poisonous, etc.",0
3177,Roughing It,0
36034,"White nights, and other stories",0
25087,Twenty Years of Hus'ling,0
23280,The Shirley Letters from California Mines in 1851-52,0
25829,,0
50528,"Pitt und Fox, die Liebeswege der Brüder Sintrup: Roman",0
25962,"World's War Events, Vol. I",0
33283,Calculus Made EasyBeing a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus,0
21076,The First Six Books of the Elements of Euclid,0
28229,"Anderson Crow, Detective",0
1998,Thus Spake Zarathustra: A Book for All and None,0
65661,Der Zauberberg. Erster Band,0
26154,The Joyous Adventures of Aristide Pujol,0
26011,The Prairie Mother,0
64317,The Great Gatsby,0
24869,"The Rámáyan of Válmíki, translated into English verse",0
28046,"Critical and Historical Essays, Volume III (of 3)",0
22968,Nederlandsche Volkskunde,0
