book_id,title,downloads
2701,"Moby Dick; Or, The Whale",120926.0
1342,Pride and Prejudice,105100.0
84,"Frankenstein; or, the modern prometheus",143136.0
1513,Romeo and Juliet,78483.0
145,Middlemarch,57638.0
100,The Complete Works of William Shakespeare,62194.0
11,Alice's Adventures in Wonderland,69528.0
2641,A Room with a View,66554.0
2554,Crime and Punishment,79364.0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",56653.0
67979,The Blue Castle: a novel,59320.0
26471,Spoon River Anthology,43557.0
16389,The Enchanted April,44126.0
1184,The Count of Monte Cristo,61598.0
26849,The Works of Mr. George Gillespie (Vol. 1 of 2),25375.0
26296,"Les mille et une nuits, tome premier",30458.0
394,Cranford,40412.0
6761,The Adventures of Ferdinand Count Fathom — Complete,41046.0
2160,The Expedition of Humphry Clinker,40423.0
1259,Twenty years after,44813.0
4085,The Adventures of Roderick Random,39077.0
6593,"History of Tom Jones, a Foundling",39771.0
45304,"The City of God, Volume I",88072.0
5197,My Life — Volume 1,47648.0
37683,Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),13608.0
24855,Concrete Construction: Methods and Costs,15352.0
28942,"The Junior Classics, Volume 1: Fairy and wonder tales",29182.0
26225,Fifteen Thousand Useful Phrases,33200.0
1661,The Adventures of Sherlock Holmes,43408.0
8492,The King in Yellow,60397.0
28054,The Brothers Karamazov,42298.0
55487,Sämmtliche Werke 5: Dramatische Werke,28018.0
345,Dracula,0.0
43,The strange case of Dr. Jekyll and Mr. Hyde,69841.0
1260,Jane Eyre: An Autobiography,0.0
768,Wuthering Heights,45290.0
27509,The 2006 CIA World Factbook,28445.0
98,A Tale of Two Cities,0.0
12082,Color Images from Mars RoversSpirit and Opportunity,21058.0
60353,Millionen; Der Tod des Iwan Lande: Zwei Novellen,0.0
24141,警世通言,0.0
64317,The Great Gatsby,57325.0
22088,Apologia pro vita sua :  being a history of his religious opinions,13534.0
21053,An anthology of German literature,0.0
174,The Picture of Dorian Gray,0.0
1998,Thus Spake Zarathustra: A Book for All and None,0.0
27513,The Book of the National Parks,0.0
74,"The Adventures of Tom Sawyer, Complete",32152.0
2600,War and Peace,0.0
21190,"Expositions of Holy ScriptureSecond Corinthians, Galatians, and Philippians ChaptersI to End. Colossians, Thessalonians, and First Timothy.",9922.0
21682,"The field and garden vegetables of America :  containing full descriptions of nearly eleven hundred species and varieties; with directions for propagation, culture, and use.",0.0
25359,"Boys and Girls Bookshelf; a Practical Plan of Character Building, Volume I (of 17)Fun and Thought for Little Folk",0.0
25833,The Great Controversy Between Christ and Satan,0.0
135,Les Misérables,18242.0
2680,Meditations,31428.0
1232,The Prince,27723.0
34811,Buddenbrooks: Verfall einer Familie,0.0
27430,The Critical Period of American History,0.0
25180,La favorita del Mahdi,0.0
24869,"The Rámáyan of Válmíki, translated into English verse",21870.0
36034,"White nights, and other stories",0.0
24919,Amor Crioulovida argentina,13153.0
22120,"Chaucer's Works, Volume 4 — The Canterbury Tales",0.0
4217,A Portrait of the Artist as a Young Man,11733.0
1400,Great Expectations,0.0
65661,Der Zauberberg. Erster Band,0.0
24979,A Source Book for Ancient Church History,0.0
28046,"Critical and Historical Essays, Volume III (of 3)",0.0
23609,"Searchlights on Health: Light on Dark CornersA Complete Sexual Science and a Guide to Purity and Physical Manhood, Advice To Maiden, Wife, And Mother, Love, Courtship, And Marriage",0.0
21851,"History of the Negro Race in America from 1619 to 1880. Vol. 2Negroes as Slaves, as Soldiers, and as Citizens",0.0
21006,The Governments of Europe,0.0
20968,"Three Hundred Tang Poems, Volume 1",0.0
4363,Beyond Good and Evil,23414.0
76,Adventures of Huckleberry Finn,0.0
26706,"Manual of Military TrainingSecond, Revised Edition",0.0
78733,The master of destiny :  A biography of the brain,0.0
1727,The OdysseyRendered into English prose for the use of those who cannot read the original,23430.0
25977,My Recollections of Lord Byron,0.0
27966,The Dop Doctor,10666.0
23319,"Mechanical Drawing Self-TaughtComprising instructions in the selection and preparation of drawing instruments, elementary instruction in practical mechanical drawing; together with examples in simple geometry and elementary mechanism, including screw threads, gear wheels, mechanical motions, engines and boilers",0.0
8800,The divine comedy,24509.0
65662,Der Zauberberg. Zweiter Band,7978.0
26901,"A History of the Nineteenth Century, Year by Year. Volume 2 (of 3)",12248.0
23637,The Bishop of Cottontown: A Story of the Southern Cotton Mills,0.0
25810,In Connection with the De Willoughby Claim,0.0
69944,Jud Süß,0.0
23186,The Handbook to English Heraldry,11951.0
20990,London and the Kingdom - Volume 2A History Derived Mainly from the Archives at Guildhall in the Custody of the Corporation of the City of London.,17167.0
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,47345.0
24950,Bradford's History of 'Plimoth Plantation'From the Original Manuscript. With a Report of the Proceedings Incident to the Return of the Manuscript to Massachusetts,0.0
5200,Metamorphosis,27136.0
4300,Ulysses,0.0
45,Anne of Green Gables,24698.0
78726,Blood lands,0.0
205,"Walden, and On The Duty Of Civil Disobedience",28067.0
3296,The Confessions of St. Augustine,0.0
24898,Robert Elsmere,0.0
48040,Das Bücher-DekameronEine Zehn-Nächte-Tour durch die europäische Gesellschaft und Literatur,0.0
245,Life on the Mississippi,26361.0
23756,Geschichte Alexanders des Grossen,0.0
