book_id,title,downloads
2701,"Moby Dick; Or, The Whale",0.0
84,"Frankenstein; or, the modern prometheus",0.0
1184,The Count of Monte Cristo,0.0
40739,Die Traumdeutung,0.0
1342,Pride and Prejudice,0.0
1513,Romeo and Juliet,0.0
45304,"The City of God, Volume I",0.0
26716,"The Crown of Wild Olivealso Munera Pulveris; Pre-Raphaelitism; Aratra Pentelici; The Ethics of the Dust; Fiction, Fair and Foul; The Elements of Drawing",0.0
11,Alice's Adventures in Wonderland,0.0
26471,Spoon River Anthology,0.0
24950,Bradford's History of 'Plimoth Plantation'From the Original Manuscript. With a Report of the Proceedings Incident to the Return of the Manuscript to Massachusetts,0.0
25049,My Reminiscences of the Anglo-Boer War,11572.0
100,The Complete Works of William Shakespeare,0.0
2641,A Room with a View,66554.0
27558,The 2003 CIA World Factbook,0.0
43,The strange case of Dr. Jekyll and Mr. Hyde,64481.0
145,Middlemarch,0.0
2554,Crime and Punishment,79364.0
25810,In Connection with the De Willoughby Claim,2468.0
37106,"Little Women; Or, Meg, Jo, Beth, and Amy",49414.0
21053,An anthology of German literature,6925.0
22542,Jesus the ChristA Study of the Messiah and His Mission According to HolyScriptures Both Ancient and Modern,17297.0
42486,"The Two Magics: The Turn of the Screw, Covering End",7144.0
28054,The Brothers Karamazov,39032.0
26849,The Works of Mr. George Gillespie (Vol. 1 of 2),927.0
25851,"The Life of Charles Dickens, Vol. I-III, Complete",15049.0
21436,Poems Every Child Should Know,18103.0
67979,The Blue Castle: a novel,52497.0
23403,Special Report on Diseases of the Horse,14091.0
28046,"Critical and Historical Essays, Volume III (of 3)",1059.0
16389,The Enchanted April,44126.0
20051,Märchen der Gebrüder Grimm 2,14765.0
12082,Color Images from Mars RoversSpirit and Opportunity,21058.0
24869,"The Rámáyan of Válmíki, translated into English verse",21870.0
21280,"Surgical Experiences in South Africa, 1899-1900Being Mainly a Clinical Study of the Nature and Effects of Injuries Produced by Bullets of Small Calibre",8381.0
394,Cranford,40412.0
60353,Millionen; Der Tod des Iwan Lande: Zwei Novellen,7758.0
6761,The Adventures of Ferdinand Count Fathom — Complete,41046.0
2160,The Expedition of Humphry Clinker,40423.0
4085,The Adventures of Roderick Random,39077.0
5197,My Life — Volume 1,47648.0
6593,"History of Tom Jones, a Foundling",39771.0
1259,Twenty years after,44813.0
26296,"Les mille et une nuits, tome premier",19180.0
25178,Damiano: Storia di una povera famiglia,8550.0
27669,"The Johnstown Horror!!!or, Valley of Death, being A Complete and Thrilling Accountof the Awful Floods and Their Appalling Ruin",783.0
24850,Lourdes,7674.0
21953,"Aurelian; or, Rome in the Third Century",6170.0
64414,Der Jäger von Fall :  Hochlandsroman,6945.0
28428,Manual of Surgery Volume Second: Extremities—Head—Neck. Sixth Edition.,1015.0
24855,Concrete Construction: Methods and Costs,15352.0
768,Wuthering Heights,45290.0
76,Adventures of Huckleberry Finn,45697.0
21012,"The loyalists of America and their times :  from 1620 to 1816, Vol. 1 of 2",8867.0
23354,Vegetable TeratologyAn Account of the Principal Deviations from the Usual Construction of Plants,12313.0
22015,As Minas de Salomão,5866.0
21321,Before the Dawn: A Story of the Fall of Richmond,4947.0
23405,"Journeys Through Bookland, Vol. 7",10046.0
1661,The Adventures of Sherlock Holmes,43408.0
25575,"Mémoires d'Outre-Tombe, Tome 4",3812.0
98,A Tale of Two Cities,40758.0
26564,Ivanhoe,654.0
1260,Jane Eyre: An Autobiography,52955.0
22722,Woordenlijst voor de spelling der Nederlandsche TaalMet aanwijzing van de geslachten der naamwoorden en de vervoeging der werkwoorden,15423.0
21848,Noli me tangere: Filippijnsche roman,9092.0
22091,"The best short stories of 1920, and the yearbook of the American short story",18396.0
25179,La carità del prossimo,6964.0
24782,Der Dunkelgraf,6852.0
28088,"The Beth BookBeing a Study of the Life of Elizabeth Caldwell Maclure, a Woman of Genius",618.0
27400,The Martian: A Novel,2612.0
22789,On the Duties of the Clergy,22380.0
27367,The Art of Stage DancingThe Story of a Beautiful and Profitable Profession,964.0
26447,The Strange Case of Mortimer Fenley,529.0
174,The Picture of Dorian Gray,45055.0
22094,"Travels in the Great Desert of Sahara, in the Years of 1845 and 1846",17716.0
22788,The Federalist Papers,24902.0
25833,The Great Controversy Between Christ and Satan,12600.0
8492,The King in Yellow,60397.0
64317,The Great Gatsby,57325.0
345,Dracula,46892.0
65580,Carl Svenske: Historisk berättelse från frihetstiden,8338.0
